Attrition,Business_Travel,CF_age_band,CF_attrition_label,Department,Education_Field,emp_no,Employee_Number,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,Age,CF_current_Employee,Daily_Rate,Distance_From_Home,Education,Employee_Count,Environment_Satisfaction,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-14,14,Male,Laboratory Technician,Married,No,Y,5,35,1,809,16,Bachelor's Degree,1,1,84,4,1,2,2426.00,16479.00,0,13,3,3,80,1,6,3,5,4,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-15,15,Female,Laboratory Technician,Single,Yes,Y,3,29,1,153,15,Associates Degree,1,4,49,2,2,3,4193.00,12682.00,0,12,3,4,80,0,10,3,9,5,0,8
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-16,16,Male,Research Scientist,Divorced,No,Y,1,31,1,670,26,High School,1,1,31,3,1,3,2911.00,15170.00,1,17,3,4,80,1,5,2,5,2,4,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-18,18,Male,Laboratory Technician,Divorced,No,Y,2,34,1,1346,19,Associates Degree,1,2,93,3,1,4,2661.00,8758.00,0,11,3,3,80,1,3,3,2,2,1,2
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-19,19,Male,Laboratory Technician,Single,Yes,Y,4,28,0,103,24,Bachelor's Degree,1,3,50,2,1,3,2028.00,12947.00,5,14,3,2,80,0,6,3,4,2,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-20,20,Female,Manufacturing Director,Divorced,No,Y,1,29,1,1389,21,Master's Degree,1,2,51,4,3,1,9980.00,10195.00,1,11,3,3,80,1,10,3,10,9,8,8
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-21,21,Male,Research Scientist,Divorced,Yes,Y,5,32,1,334,5,Associates Degree,1,1,80,4,1,2,3298.00,15053.00,0,12,3,4,80,2,7,2,6,2,0,5
No,Non-Travel,Under 25,Current Employees,R&D,Medical,STAFF-22,22,Male,Laboratory Technician,Divorced,Yes,Y,2,22,1,1123,16,Associates Degree,1,4,96,4,1,4,2935.00,7324.00,1,13,3,2,80,2,1,2,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,STAFF-23,23,Female,Manager,Married,No,Y,3,53,1,1219,2,Master's Degree,1,1,78,2,4,4,15427.00,22021.00,2,16,3,3,80,0,31,3,25,8,3,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-24,24,Male,Research Scientist,Single,Yes,Y,3,38,1,371,2,Bachelor's Degree,1,4,45,3,1,4,3944.00,4306.00,5,11,3,3,80,0,6,3,3,2,1,2
No,Non-Travel,Under 25,Current Employees,R&D,Other,STAFF-26,26,Female,Manufacturing Director,Divorced,No,Y,5,24,1,673,11,Associates Degree,1,1,96,4,2,3,4011.00,8232.00,0,18,3,4,80,1,5,2,4,2,1,3
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-27,27,Male,Sales Representative,Single,No,Y,4,36,0,1218,9,Master's Degree,1,3,82,2,1,1,3407.00,6986.00,7,23,4,2,80,0,10,3,5,3,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-28,28,Female,Research Director,Single,No,Y,4,34,1,419,7,Master's Degree,1,1,53,3,3,2,11994.00,21293.00,0,11,3,3,80,0,13,3,12,6,2,11
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-30,30,Male,Research Scientist,Single,No,Y,6,21,1,391,15,Associates Degree,1,3,96,3,1,4,1232.00,19281.00,1,14,3,4,80,0,0,3,0,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-31,31,Male,Research Scientist,Single,No,Y,2,34,0,699,6,High School,1,2,83,3,1,1,2960.00,17102.00,2,11,3,3,80,0,8,3,4,2,1,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-32,32,Female,Manager,Divorced,No,Y,3,53,1,1282,5,Bachelor's Degree,1,3,58,3,5,3,19094.00,10735.00,4,11,3,4,80,1,26,2,14,13,4,8
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-33,33,Female,Research Scientist,Single,Yes,Y,5,32,0,1125,16,High School,1,2,72,1,1,1,3919.00,4681.00,1,22,4,2,80,0,10,3,10,2,6,7
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-35,35,Male,Sales Executive,Married,No,Y,2,42,1,691,8,Master's Degree,1,3,48,3,2,2,6825.00,21173.00,0,11,3,4,80,1,10,3,9,7,4,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-36,36,Female,Healthcare Representative,Married,No,Y,4,44,1,477,7,Master's Degree,1,1,42,2,3,4,10248.00,2094.00,3,14,3,4,80,1,24,3,22,6,5,17
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-38,38,Female,Manager,Single,No,Y,2,46,1,705,2,Master's Degree,1,2,83,3,5,1,18947.00,22822.00,3,12,3,4,80,0,22,2,2,2,2,1
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-39,39,Male,Laboratory Technician,Single,No,Y,3,33,1,924,2,Bachelor's Degree,1,3,78,3,1,4,2496.00,6670.00,4,11,3,4,80,0,7,3,1,1,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-40,40,Male,Healthcare Representative,Married,Yes,Y,5,44,1,1459,10,Master's Degree,1,4,41,3,2,4,6465.00,19121.00,2,13,3,4,80,0,9,4,4,2,1,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-41,41,Male,Laboratory Technician,Single,No,Y,5,30,1,125,9,Associates Degree,1,4,83,2,1,3,2206.00,16117.00,1,13,3,1,80,0,10,3,10,0,1,8
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Technical Degree,STAFF-42,42,Male,Sales Representative,Married,No,Y,6,39,0,895,5,Bachelor's Degree,1,4,56,3,2,4,2086.00,3335.00,3,14,3,3,80,1,19,4,1,0,0,0
Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Medical,STAFF-45,45,Male,Research Scientist,Married,Yes,Y,2,24,0,813,1,Bachelor's Degree,1,2,61,3,1,4,2293.00,3020.00,2,16,3,1,80,1,6,2,2,0,2,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-46,46,Female,Research Scientist,Divorced,No,Y,3,43,1,1273,2,Associates Degree,1,4,72,4,1,3,2645.00,21923.00,1,12,3,4,80,2,6,2,5,3,1,4
Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Marketing,STAFF-47,47,Male,Sales Representative,Married,Yes,Y,2,50,0,869,3,Associates Degree,1,1,86,2,1,3,2683.00,3810.00,1,14,3,3,80,0,3,3,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-49,49,Female,Sales Representative,Married,No,Y,3,35,1,890,2,Bachelor's Degree,1,4,97,3,1,4,2014.00,9687.00,1,13,3,1,80,0,2,3,2,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-51,51,Female,Research Scientist,Married,Yes,Y,3,36,1,852,5,Master's Degree,1,2,82,2,1,1,3419.00,13072.00,9,14,3,4,80,1,6,4,1,1,0,0
No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,STAFF-52,52,Female,Sales Executive,Married,No,Y,3,33,1,1141,1,Bachelor's Degree,1,3,42,4,2,1,5376.00,3193.00,2,19,3,1,80,2,10,3,5,3,1,3
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-53,53,Male,Laboratory Technician,Divorced,No,Y,3,35,1,464,4,Associates Degree,1,3,75,3,1,4,1951.00,10910.00,1,12,3,3,80,1,1,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-54,54,Female,Laboratory Technician,Divorced,No,Y,6,27,1,1240,2,Master's Degree,1,4,33,3,1,1,2341.00,19715.00,1,13,3,4,80,1,1,3,1,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-55,55,Male,Laboratory Technician,Single,No,Y,2,26,0,1357,25,Bachelor's Degree,1,1,48,1,1,3,2293.00,10558.00,1,12,3,3,80,0,1,2,1,0,0,1
No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,STAFF-56,56,Male,Sales Executive,Single,No,Y,0,27,1,994,8,Bachelor's Degree,1,4,37,3,3,3,8726.00,2975.00,1,15,3,4,80,0,9,3,9,8,1,7
No,Travel_Frequently,25 - 34,Current Employees,R&D,Medical,STAFF-57,57,Female,Laboratory Technician,Single,No,Y,2,30,1,721,1,Associates Degree,1,3,58,3,2,4,4011.00,10781.00,1,23,4,4,80,0,12,3,12,8,3,7
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Technical Degree,STAFF-58,58,Female,Research Director,Married,No,Y,0,41,0,1360,12,Bachelor's Degree,1,2,49,3,5,3,19545.00,16280.00,1,12,3,4,80,0,23,3,22,15,15,8
No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,STAFF-60,60,Male,Sales Executive,Single,No,Y,2,34,1,1065,23,Master's Degree,1,2,72,3,2,3,4568.00,10034.00,0,20,4,3,80,0,10,3,9,5,8,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-61,61,Male,Research Scientist,Married,No,Y,1,37,1,408,19,Associates Degree,1,2,73,3,1,2,3022.00,10227.00,4,21,4,1,80,0,8,3,1,0,0,0
No,Travel_Frequently,45 - 54,Current Employees,Sales,Marketing,STAFF-62,62,Male,Sales Executive,Single,Yes,Y,4,46,1,1211,5,Master's Degree,1,1,98,3,2,4,5772.00,20445.00,4,21,4,3,80,0,14,3,9,6,0,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-63,63,Male,Laboratory Technician,Married,No,Y,2,35,1,1229,8,High School,1,4,36,4,1,4,2269.00,4892.00,1,19,3,4,80,0,1,3,1,0,0,1
Yes,Travel_Rarely,45 - 54,Ex-Employees,R&D,Life Sciences,STAFF-64,64,Male,Laboratory Technician,Single,Yes,Y,2,48,0,626,1,Associates Degree,1,1,98,2,3,3,5381.00,19294.00,9,13,3,4,80,0,23,3,1,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-65,65,Male,Laboratory Technician,Single,Yes,Y,3,28,0,1434,5,Master's Degree,1,3,50,3,1,3,3441.00,11179.00,1,13,3,3,80,0,2,2,2,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-68,68,Female,Sales Executive,Divorced,Yes,Y,2,44,1,1488,1,Doctoral Degree,1,2,75,3,2,1,5454.00,4009.00,5,21,4,3,80,1,9,2,4,3,1,3
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-70,70,Male,Healthcare Representative,Married,Yes,Y,3,35,1,1097,11,Associates Degree,1,3,79,2,3,1,9884.00,8302.00,2,13,3,3,80,1,10,3,4,0,2,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-72,72,Female,Sales Executive,Married,Yes,Y,2,26,1,1443,23,Bachelor's Degree,1,3,47,2,2,4,4157.00,21436.00,7,19,3,3,80,1,5,2,2,2,0,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-73,73,Female,Research Director,Single,Yes,Y,1,33,1,515,1,Associates Degree,1,1,98,3,3,4,13458.00,15146.00,1,12,3,3,80,0,15,3,15,14,8,12
No,Travel_Frequently,35 - 44,Current Employees,Sales,Life Sciences,STAFF-74,74,Male,Sales Executive,Married,No,Y,3,35,1,853,18,Doctoral Degree,1,2,71,3,3,1,9069.00,11031.00,1,22,4,4,80,1,9,2,9,8,1,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-75,75,Female,Laboratory Technician,Married,Yes,Y,3,35,1,1142,23,Master's Degree,1,3,30,3,1,1,4014.00,16002.00,3,15,3,3,80,1,4,3,2,2,2,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-76,76,Male,Laboratory Technician,Divorced,No,Y,3,31,1,655,7,Master's Degree,1,4,48,3,2,4,5915.00,9528.00,3,22,4,4,80,1,10,2,7,7,1,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-77,77,Male,Manufacturing Director,Divorced,No,Y,2,37,1,1115,1,Master's Degree,1,1,51,2,2,3,5993.00,2689.00,1,18,3,3,80,1,7,4,7,5,0,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-78,78,Male,Manufacturing Director,Married,Yes,Y,3,32,1,427,1,Bachelor's Degree,1,1,33,3,2,4,6162.00,10877.00,1,22,4,2,80,1,9,3,9,8,7,8
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-79,79,Female,Laboratory Technician,Single,No,Y,2,38,1,653,29,Doctoral Degree,1,4,50,3,2,4,2406.00,5456.00,1,11,3,4,80,0,10,3,10,3,9,9
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-80,80,Female,Research Director,Divorced,Yes,Y,2,50,1,989,7,Associates Degree,1,2,43,2,5,3,18740.00,16701.00,5,12,3,4,80,1,29,2,27,3,13,8
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-81,81,Female,Sales Executive,Single,No,Y,3,59,1,1435,25,Bachelor's Degree,1,1,99,3,3,1,7637.00,2354.00,7,11,3,4,80,0,28,2,21,16,7,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-83,83,Female,Healthcare Representative,Divorced,No,Y,2,36,1,1223,8,Bachelor's Degree,1,3,59,3,3,3,10096.00,8202.00,1,13,3,2,80,3,17,3,17,14,12,8
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-84,84,Female,Manager,Divorced,Yes,Y,2,55,1,836,8,Bachelor's Degree,1,4,33,3,4,3,14756.00,19730.00,2,14,3,3,80,3,21,3,5,0,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-85,85,Male,Manufacturing Director,Single,No,Y,3,36,1,1195,11,Bachelor's Degree,1,2,95,2,2,2,6499.00,22656.00,1,13,3,3,80,0,6,3,6,5,0,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-86,86,Male,Research Scientist,Divorced,No,Y,2,45,1,1339,7,Bachelor's Degree,1,2,59,3,3,1,9724.00,18787.00,2,17,3,3,80,1,25,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-88,88,Male,Research Scientist,Married,No,Y,2,35,1,664,1,Bachelor's Degree,1,2,79,3,1,1,2194.00,5868.00,4,13,3,4,80,1,5,2,3,2,1,2
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Medical,STAFF-90,90,Male,Research Scientist,Married,Yes,Y,0,36,0,318,9,Bachelor's Degree,1,4,79,2,1,3,3388.00,21777.00,0,17,3,1,80,1,2,2,1,0,0,0
No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,STAFF-91,91,Female,Sales Executive,Single,No,Y,2,59,1,1225,1,High School,1,1,57,2,2,3,5473.00,24668.00,7,11,3,4,80,0,20,2,4,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-94,94,Male,Research Scientist,Married,No,Y,3,29,1,1328,2,Bachelor's Degree,1,3,76,3,1,2,2703.00,4956.00,0,23,4,4,80,1,6,3,5,4,0,4
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-95,95,Male,Research Scientist,Single,No,Y,4,31,1,1082,1,Master's Degree,1,3,87,3,1,2,2501.00,18775.00,1,17,3,2,80,0,1,3,1,1,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-96,96,Male,Research Scientist,Married,No,Y,3,32,1,548,1,Bachelor's Degree,1,2,66,3,2,2,6220.00,7346.00,1,17,3,2,80,2,10,3,10,4,0,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-97,97,Female,Laboratory Technician,Married,No,Y,3,36,1,132,6,Bachelor's Degree,1,2,55,4,1,4,3038.00,22002.00,3,12,3,2,80,0,5,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-98,98,Female,Manufacturing Director,Single,No,Y,2,31,1,746,8,Master's Degree,1,3,61,3,2,4,4424.00,20682.00,1,23,4,4,80,0,11,3,11,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-100,100,Male,Sales Executive,Single,No,Y,2,35,1,776,1,Master's Degree,1,3,32,2,2,1,4312.00,23016.00,0,14,3,2,80,0,16,3,15,13,2,8
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-101,101,Male,Research Director,Married,Yes,Y,3,45,1,193,6,Master's Degree,1,4,52,3,3,1,13245.00,15067.00,4,14,3,2,80,0,17,4,0,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-102,102,Male,Research Director,Single,No,Y,3,37,1,397,7,Master's Degree,1,1,30,3,3,3,13664.00,25258.00,4,13,3,1,80,0,16,4,5,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,HR,Medical,STAFF-103,103,Male,Human Resources,Divorced,Yes,Y,2,46,1,945,5,Associates Degree,1,2,80,3,2,2,5021.00,10425.00,8,22,4,4,80,1,16,3,4,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-104,104,Male,Laboratory Technician,Married,Yes,Y,1,30,1,852,1,High School,1,4,55,2,2,4,5126.00,15998.00,1,12,3,3,80,2,10,2,10,8,3,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-105,105,Male,Research Scientist,Single,No,Y,3,35,1,1214,1,Bachelor's Degree,1,2,30,2,1,3,2859.00,26278.00,1,18,3,1,80,0,6,3,6,4,0,4
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-106,106,Male,Sales Executive,Married,No,Y,4,55,1,111,1,Associates Degree,1,1,70,3,3,4,10239.00,18092.00,3,14,3,4,80,1,24,3,1,0,1,0
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-107,107,Female,Research Scientist,Divorced,Yes,Y,3,38,1,573,6,Bachelor's Degree,1,2,79,1,2,4,5329.00,15717.00,7,12,3,4,80,3,17,3,13,11,1,9
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-110,110,Male,Manufacturing Director,Married,No,Y,2,34,1,1153,1,Associates Degree,1,1,94,3,2,2,4325.00,17736.00,1,15,3,3,80,0,5,3,5,2,1,3
No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,STAFF-112,112,Male,Manufacturing Director,Single,No,Y,3,56,1,1400,7,Bachelor's Degree,1,4,49,1,3,4,7260.00,21698.00,4,11,3,1,80,0,37,2,6,4,0,2
No,Travel_Rarely,Under 25,Current Employees,Sales,Technical Degree,STAFF-113,113,Male,Sales Representative,Divorced,No,Y,3,23,1,541,2,High School,1,3,62,3,1,1,2322.00,9518.00,3,13,3,3,80,1,3,3,0,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-116,116,Male,Laboratory Technician,Married,No,Y,4,51,1,432,9,Master's Degree,1,4,96,3,1,4,2075.00,18725.00,3,23,4,2,80,2,10,3,4,2,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-117,117,Male,Healthcare Representative,Married,No,Y,3,30,1,288,2,Bachelor's Degree,1,3,99,2,2,4,4152.00,15830.00,1,19,3,1,80,3,11,3,11,10,10,8
Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Medical,STAFF-118,118,Male,Sales Executive,Single,No,Y,3,46,0,669,9,Associates Degree,1,3,64,2,3,4,9619.00,13596.00,1,16,3,4,80,0,9,3,9,8,4,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-119,119,Male,Healthcare Representative,Married,No,Y,3,40,1,530,1,Master's Degree,1,3,78,2,4,2,13503.00,14115.00,1,22,4,4,80,1,22,2,22,3,11,11
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-120,120,Male,Sales Executive,Single,Yes,Y,2,51,1,632,21,Master's Degree,1,3,71,3,2,4,5441.00,8423.00,0,22,4,4,80,0,11,1,10,7,1,0
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-121,121,Female,Sales Executive,Divorced,Yes,Y,4,30,1,1334,4,Associates Degree,1,3,63,2,2,2,5209.00,19760.00,1,12,3,2,80,3,11,2,11,8,2,7
No,Travel_Frequently,45 - 54,Current Employees,R&D,Medical,STAFF-124,124,Male,Healthcare Representative,Married,Yes,Y,5,46,1,638,1,Bachelor's Degree,1,3,40,2,3,1,10673.00,3142.00,2,13,3,3,80,1,21,2,10,9,9,5
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-125,125,Male,Sales Executive,Single,No,Y,0,32,1,1093,6,Master's Degree,1,2,87,3,2,3,5010.00,24301.00,1,16,3,1,80,0,12,3,11,8,5,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-126,126,Female,Research Director,Married,No,Y,5,54,1,1217,2,Master's Degree,1,1,60,3,3,3,13549.00,24001.00,9,12,3,1,80,1,16,1,4,3,0,3
No,Travel_Rarely,Under 25,Current Employees,Sales,Other,STAFF-128,128,Female,Sales Executive,Married,No,Y,2,24,1,1353,3,Associates Degree,1,1,33,3,2,3,4999.00,17519.00,0,21,4,1,80,1,4,2,3,2,0,2
No,Non-Travel,25 - 34,Current Employees,Sales,Medical,STAFF-129,129,Male,Sales Executive,Married,No,Y,3,28,1,120,4,Bachelor's Degree,1,2,43,3,2,3,4221.00,8863.00,1,15,3,2,80,0,5,4,5,4,0,4
No,Travel_Rarely,Over 55,Current Employees,Sales,Medical,STAFF-131,131,Male,Sales Executive,Single,No,Y,1,58,1,682,10,Master's Degree,1,4,37,3,4,3,13872.00,24409.00,0,13,3,3,80,0,38,2,37,10,1,8
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-132,132,Male,Laboratory Technician,Married,No,Y,3,44,1,489,23,Bachelor's Degree,1,2,67,3,2,2,2042.00,25043.00,4,12,3,3,80,1,17,4,3,2,1,2
Yes,Travel_Rarely,35 - 44,Ex-Employees,HR,Human Resources,STAFF-133,133,Male,Human Resources,Divorced,Yes,Y,3,37,0,807,6,Master's Degree,1,3,63,3,1,1,2073.00,23648.00,4,22,4,4,80,0,7,3,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-134,134,Male,Research Scientist,Single,No,Y,2,32,1,827,1,High School,1,4,71,3,1,1,2956.00,15178.00,1,13,3,4,80,0,1,3,1,0,0,0
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Life Sciences,STAFF-137,137,Female,Laboratory Technician,Single,Yes,Y,5,20,0,871,6,Bachelor's Degree,1,4,66,2,1,4,2926.00,19783.00,1,18,3,2,80,0,1,3,1,0,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-138,138,Female,Research Scientist,Single,No,Y,3,34,1,665,6,Master's Degree,1,1,41,3,2,3,4809.00,12482.00,1,14,3,3,80,0,16,3,16,13,2,10
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-139,139,Male,Healthcare Representative,Divorced,No,Y,2,37,1,1040,2,Associates Degree,1,3,100,2,2,4,5163.00,15850.00,5,14,3,4,80,1,17,4,1,0,0,0
No,Non-Travel,Over 55,Current Employees,HR,Human Resources,STAFF-140,140,Female,Manager,Married,No,Y,3,59,1,1420,2,Master's Degree,1,3,32,2,5,4,18844.00,21922.00,9,21,4,4,80,1,30,3,3,2,2,2
